sample,spot_name,cluster
1,"spot247","0"
1,"spot248","0"
1,"spot249","1"
1,"spot250","0"
1,"spot251","4"
1,"spot252","1"
1,"spot253","4"
1,"spot254","1"
1,"spot255","4"
1,"spot256","4"
1,"spot257","4"
1,"spot258","4"
1,"spot259","3"
1,"spot260","0"
1,"spot261","0"
1,"spot262","3"
1,"spot263","3"
1,"spot264","4"
1,"spot265","0"
1,"spot266","1"
1,"spot267","0"
1,"spot268","3"
1,"spot269","1"
1,"spot270","4"
1,"spot271","0"
1,"spot272","0"
1,"spot273","1"
1,"spot274","1"
1,"spot275","4"
1,"spot276","3"
1,"spot277","4"
1,"spot278","0"
1,"spot279","4"
1,"spot280","1"
1,"spot281","3"
1,"spot282","1"
1,"spot283","4"
1,"spot284","3"
1,"spot285","1"
1,"spot286","1"
1,"spot287","4"
1,"spot288","1"
1,"spot289","4"
1,"spot290","0"
1,"spot291","4"
1,"spot292","3"
1,"spot293","3"
1,"spot294","3"
1,"spot295","1"
1,"spot296","0"
1,"spot297","3"
1,"spot298","4"
1,"spot299","1"
1,"spot300","0"
1,"spot301","0"
1,"spot302","1"
1,"spot303","4"
1,"spot304","4"
1,"spot305","0"
1,"spot306","1"
1,"spot307","0"
1,"spot308","3"
1,"spot309","4"
1,"spot310","1"
1,"spot311","1"
1,"spot312","1"
1,"spot313","2"
1,"spot314","0"
1,"spot315","4"
1,"spot316","3"
1,"spot317","0"
1,"spot318","3"
1,"spot319","3"
1,"spot320","1"
1,"spot321","0"
1,"spot322","0"
1,"spot323","0"
1,"spot324","3"
1,"spot325","4"
1,"spot326","0"
1,"spot327","3"
1,"spot328","3"
1,"spot329","4"
1,"spot330","3"
1,"spot331","1"
1,"spot332","1"
1,"spot333","3"
1,"spot334","0"
1,"spot335","1"
1,"spot336","3"
1,"spot337","0"
1,"spot338","0"
1,"spot339","0"
1,"spot340","0"
1,"spot341","0"
1,"spot342","0"
1,"spot343","3"
1,"spot344","3"
1,"spot345","3"
1,"spot346","0"
1,"spot347","0"
1,"spot348","0"
1,"spot349","0"
1,"spot350","0"
1,"spot351","0"
1,"spot352","0"
1,"spot353","0"
1,"spot354","0"
1,"spot355","0"
1,"spot356","0"
1,"spot357","4"
1,"spot358","4"
1,"spot359","0"
1,"spot360","4"
1,"spot361","4"
