V1,sample,spot_name,cluster
596,3,spot1096_3,1
597,3,spot1097_3,1
598,3,spot1098_3,2
599,3,spot1099_3,1
600,3,spot1100_3,1
601,3,spot1101_3,3
602,3,spot1102_3,2
603,3,spot1103_3,2
604,3,spot1104_3,3
605,3,spot1105_3,2
606,3,spot1106_3,1
607,3,spot1107_3,1
608,3,spot1108_3,3
609,3,spot1109_3,2
610,3,spot1110_3,1
611,3,spot1111_3,3
612,3,spot1112_3,3
613,3,spot1113_3,2
614,3,spot1114_3,4
615,3,spot1115_3,4
616,3,spot1116_3,2
617,3,spot1117_3,1
618,3,spot1118_3,1
619,3,spot1119_3,3
620,3,spot1120_3,2
621,3,spot1121_3,1
622,3,spot1122_3,2
623,3,spot1123_3,2
624,3,spot1124_3,3
625,3,spot1125_3,2
626,3,spot1126_3,4
627,3,spot1127_3,1
628,3,spot1128_3,1
629,3,spot1129_3,2
630,3,spot1130_3,2
631,3,spot1131_3,3
632,3,spot1132_3,1
633,3,spot1133_3,1
634,3,spot1134_3,1
635,3,spot1135_3,3
636,3,spot1136_3,1
637,3,spot1137_3,1
638,3,spot1138_3,3
639,3,spot1139_3,3
640,3,spot1140_3,2
641,3,spot1141_3,1
642,3,spot1142_3,1
643,3,spot1143_3,3
644,3,spot1144_3,3
645,3,spot1145_3,2
646,3,spot1146_3,3
647,3,spot1147_3,2
648,3,spot1148_3,3
649,3,spot1149_3,1
650,3,spot1150_3,3
651,3,spot1151_3,1
652,3,spot1152_3,3
653,3,spot1153_3,3
654,3,spot1154_3,4
655,3,spot1155_3,4
656,3,spot1156_3,3
657,3,spot1157_3,4
658,3,spot1158_3,3
659,3,spot1159_3,2
660,3,spot1160_3,1
661,3,spot1161_3,3
662,3,spot1162_3,3
663,3,spot1163_3,3
664,3,spot1164_3,2
665,3,spot1165_3,1
666,3,spot1166_3,1
667,3,spot1167_3,3
668,3,spot1168_3,4
669,3,spot1169_3,1
670,3,spot1170_3,3
671,3,spot1171_3,1
672,3,spot1172_3,1
673,3,spot1173_3,4
674,3,spot1174_3,1
675,3,spot1175_3,3
676,3,spot1176_3,3
677,3,spot1177_3,2
678,3,spot1178_3,1
679,3,spot1179_3,1
680,3,spot1180_3,1
681,3,spot1181_3,4
682,3,spot1182_3,1
683,3,spot1183_3,2
684,3,spot1184_3,2
685,3,spot1185_3,2
686,3,spot1186_3,2
687,3,spot1187_3,4
688,3,spot1188_3,4
689,3,spot1189_3,1
690,3,spot1190_3,4
691,3,spot1191_3,3
692,3,spot1192_3,1
693,3,spot1193_3,3
694,3,spot1194_3,4
695,3,spot1195_3,1
696,3,spot1196_3,1
697,3,spot1197_3,2
698,3,spot1198_3,1
699,3,spot1199_3,1
700,3,spot1200_3,3
701,3,spot1201_3,2
702,3,spot1202_3,3
703,3,spot1203_3,3
704,3,spot1204_3,2
705,3,spot1205_3,2
706,3,spot1206_3,3
707,3,spot1207_3,4
708,3,spot1208_3,2
709,3,spot1209_3,4
710,3,spot1210_3,2
711,3,spot1211_3,3
712,3,spot1212_3,4
713,3,spot1213_3,2
714,3,spot1214_3,3
715,3,spot1215_3,4
716,3,spot1216_3,1
717,3,spot1217_3,1
718,3,spot1218_3,2
719,3,spot1219_3,2
720,3,spot1220_3,2
721,3,spot1221_3,4
722,3,spot1222_3,3
723,3,spot1223_3,3
724,3,spot1224_3,3
725,3,spot1225_3,3
726,3,spot1226_3,3
727,3,spot1227_3,1
728,3,spot1228_3,4
729,3,spot1229_3,4
730,3,spot1230_3,2
731,3,spot1231_3,4
732,3,spot1232_3,3
733,3,spot1233_3,2
734,3,spot1234_3,3
735,3,spot1235_3,4
736,3,spot1236_3,2
737,3,spot1237_3,3
738,3,spot1238_3,4
739,3,spot1239_3,1
740,3,spot1240_3,3
741,3,spot1241_3,2
742,3,spot1242_3,4
743,3,spot1243_3,3
744,3,spot1244_3,2
745,3,spot1245_3,4
746,3,spot1246_3,4
747,3,spot1247_3,1
748,3,spot1248_3,2
749,3,spot1249_3,2
750,3,spot1250_3,1
751,3,spot1251_3,2
752,3,spot1252_3,1
753,3,spot1253_3,2
754,3,spot1254_3,4
755,3,spot1255_3,4
756,3,spot1256_3,3
757,3,spot1257_3,3
758,3,spot1258_3,4
759,3,spot1259_3,3
760,3,spot1260_3,1
761,3,spot1261_3,4
762,3,spot1262_3,2
763,3,spot1263_3,3
764,3,spot1264_3,4
765,3,spot1265_3,4
766,3,spot1266_3,1
767,3,spot1267_3,4
768,3,spot1268_3,2
769,3,spot1269_3,2
770,3,spot1270_3,4
771,3,spot1271_3,2
772,3,spot1272_3,4
773,3,spot1273_3,2
774,3,spot1274_3,4
775,3,spot1275_3,3
776,3,spot1276_3,2
777,3,spot1277_3,4
778,3,spot1278_3,4
779,3,spot1279_3,3
780,3,spot1280_3,3
781,3,spot1281_3,3
782,3,spot1282_3,3
783,3,spot1283_3,1
784,3,spot1284_3,4
785,3,spot1285_3,3
786,3,spot1286_3,4
787,3,spot1287_3,1
788,3,spot1288_3,1
789,3,spot1289_3,3
790,3,spot1290_3,2
791,3,spot1291_3,2
792,3,spot1292_3,2
793,3,spot1293_3,2
794,3,spot1294_3,2
795,3,spot1295_3,2
796,3,spot1296_3,3
797,3,spot1297_3,1
798,3,spot1298_3,2
799,3,spot1299_3,4
800,3,spot1300_3,3
801,3,spot1301_3,4
802,3,spot1302_3,2
803,3,spot1303_3,4
804,3,spot1304_3,2
805,3,spot1305_3,4
806,3,spot1306_3,3
807,3,spot1307_3,3
808,3,spot1308_3,2
809,3,spot1309_3,3
810,3,spot1310_3,3
811,3,spot1311_3,1
812,3,spot1312_3,3
813,3,spot1313_3,2
814,3,spot1314_3,3
815,3,spot1315_3,2
816,3,spot1316_3,3
817,3,spot1317_3,4
818,3,spot1318_3,4
819,3,spot1319_3,3
820,3,spot1320_3,1
821,3,spot1321_3,2
822,3,spot1322_3,3
823,3,spot1323_3,4
824,3,spot1324_3,1
825,3,spot1325_3,2
826,3,spot1326_3,4
827,3,spot1327_3,3
828,3,spot1328_3,4
829,3,spot1329_3,2
830,3,spot1330_3,4
831,3,spot1331_3,2
832,3,spot1332_3,1
833,3,spot1333_3,3
834,3,spot1334_3,4
835,3,spot1335_3,4
836,3,spot1336_3,4
837,3,spot1337_3,4
838,3,spot1338_3,2
839,3,spot1339_3,2
840,3,spot1340_3,2
841,3,spot1341_3,2
842,3,spot1342_3,4
843,3,spot1343_3,4
844,3,spot1344_3,1
845,3,spot1345_3,3
846,3,spot1346_3,3
847,3,spot1347_3,2
848,3,spot1348_3,3
849,3,spot1349_3,4
850,3,spot1350_3,2
851,3,spot1351_3,2
852,3,spot1352_3,2
853,3,spot1353_3,2
854,3,spot1354_3,3
855,3,spot1355_3,2
856,3,spot1356_3,2
857,3,spot1357_3,4
858,3,spot1358_3,3
859,3,spot1359_3,3
860,3,spot1360_3,1
861,3,spot1361_3,2
862,3,spot1362_3,2
863,3,spot1363_3,4
864,3,spot1364_3,4
865,3,spot1365_3,3
866,3,spot1366_3,4
867,3,spot1367_3,1
868,3,spot1368_3,2
869,3,spot1369_3,4
870,3,spot1370_3,3
871,3,spot1371_3,4
872,3,spot1372_3,3
873,3,spot1373_3,2
874,3,spot1374_3,2
875,3,spot1375_3,4
876,3,spot1376_3,2
877,3,spot1377_3,4
878,3,spot1378_3,4
879,3,spot1379_3,3
