V1,sample,spot_name,cluster
747,3,spot1247_3,1
748,3,spot1248_3,1
749,3,spot1249_3,1
750,3,spot1250_3,1
751,3,spot1251_3,1
752,3,spot1252_3,1
753,3,spot1253_3,1
754,3,spot1254_3,1
755,3,spot1255_3,1
756,3,spot1256_3,1
757,3,spot1257_3,1
758,3,spot1258_3,1
759,3,spot1259_3,1
760,3,spot1260_3,1
761,3,spot1261_3,1
762,3,spot1262_3,1
763,3,spot1263_3,1
764,3,spot1264_3,1
765,3,spot1265_3,1
766,3,spot1266_3,1
767,3,spot1267_3,1
768,3,spot1268_3,1
769,3,spot1269_3,1
770,3,spot1270_3,1
771,3,spot1271_3,1
772,3,spot1272_3,1
773,3,spot1273_3,1
774,3,spot1274_3,1
775,3,spot1275_3,1
776,3,spot1276_3,1
777,3,spot1277_3,1
778,3,spot1278_3,1
779,3,spot1279_3,1
780,3,spot1280_3,1
781,3,spot1281_3,1
782,3,spot1282_3,1
783,3,spot1283_3,1
784,3,spot1284_3,1
785,3,spot1285_3,1
786,3,spot1286_3,2
787,3,spot1287_3,1
788,3,spot1288_3,1
789,3,spot1289_3,1
790,3,spot1290_3,1
791,3,spot1291_3,1
792,3,spot1292_3,1
793,3,spot1293_3,1
794,3,spot1294_3,1
795,3,spot1295_3,1
796,3,spot1296_3,1
797,3,spot1297_3,1
798,3,spot1298_3,1
799,3,spot1299_3,1
800,3,spot1300_3,1
801,3,spot1301_3,1
802,3,spot1302_3,1
803,3,spot1303_3,1
804,3,spot1304_3,1
805,3,spot1305_3,1
806,3,spot1306_3,1
807,3,spot1307_3,1
808,3,spot1308_3,1
809,3,spot1309_3,1
810,3,spot1310_3,1
811,3,spot1311_3,1
812,3,spot1312_3,1
813,3,spot1313_3,1
814,3,spot1314_3,1
815,3,spot1315_3,1
816,3,spot1316_3,2
817,3,spot1317_3,1
818,3,spot1318_3,1
819,3,spot1319_3,1
820,3,spot1320_3,1
821,3,spot1321_3,1
822,3,spot1322_3,1
823,3,spot1323_3,1
824,3,spot1324_3,2
825,3,spot1325_3,1
826,3,spot1326_3,1
827,3,spot1327_3,1
828,3,spot1328_3,1
829,3,spot1329_3,1
830,3,spot1330_3,1
831,3,spot1331_3,1
832,3,spot1332_3,1
833,3,spot1333_3,1
834,3,spot1334_3,1
835,3,spot1335_3,1
836,3,spot1336_3,1
837,3,spot1337_3,1
838,3,spot1338_3,1
839,3,spot1339_3,1
840,3,spot1340_3,1
841,3,spot1341_3,1
842,3,spot1342_3,1
843,3,spot1343_3,2
844,3,spot1344_3,1
845,3,spot1345_3,1
846,3,spot1346_3,1
847,3,spot1347_3,1
848,3,spot1348_3,1
849,3,spot1349_3,1
850,3,spot1350_3,1
851,3,spot1351_3,1
852,3,spot1352_3,1
853,3,spot1353_3,1
854,3,spot1354_3,1
855,3,spot1355_3,1
856,3,spot1356_3,1
857,3,spot1357_3,1
858,3,spot1358_3,1
859,3,spot1359_3,1
860,3,spot1360_3,1
861,3,spot1361_3,1
862,3,spot1362_3,1
863,3,spot1363_3,1
864,3,spot1364_3,1
865,3,spot1365_3,1
866,3,spot1366_3,1
867,3,spot1367_3,1
868,3,spot1368_3,1
869,3,spot1369_3,1
870,3,spot1370_3,1
871,3,spot1371_3,1
872,3,spot1372_3,1
873,3,spot1373_3,1
874,3,spot1374_3,1
875,3,spot1375_3,1
876,3,spot1376_3,1
877,3,spot1377_3,1
878,3,spot1378_3,1
879,3,spot1379_3,1
880,3,spot1380_3,1
881,3,spot1381_3,1
882,3,spot1382_3,1
883,3,spot1383_3,1
